Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Memory Size,Memory Type,CAS Latency,Speed
RAM,CMK16GX4M2C3000C16W,Corsair,Vengeance LPX,56,79.9,5906,https://ram.userbenchmark.com/SpeedTest/337520/Corsair-Vengeance-LPX-CMK16GX4M2C3000C16-2x8GB,2x8GB,DDR4,C16,3000
RAM,BLS4K8G4D240FSB,Crucial,Ballistix Sport LT,57,79.6,621,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-LT-DDR4-2400-C16-4x8GB/Rating/3637,4x8GB,DDR4,C16,2400
RAM,BLS4K8G4D240FSC,Crucial,Ballistix Sport LT,57,79.6,621,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-LT-DDR4-2400-C16-4x8GB/Rating/3637,4x8GB,DDR4,C16,2400
RAM,BLS4K8G4D240FSE,Crucial,Ballistix Sport LT,57,79.6,621,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-LT-DDR4-2400-C16-4x8GB/Rating/3637,4x8GB,DDR4,C16,2400
RAM,HX426C16FB2K2/16,HyperX,Fury,58,79.4,139891,https://ram.userbenchmark.com/SpeedTest/272118/Kingston-KHX2666C168G-2x8GB,2x8GB,"",C16,2666
RAM,HX426C16FW2K2/16,HyperX,Fury,58,79.4,139891,https://ram.userbenchmark.com/SpeedTest/272118/Kingston-KHX2666C168G-2x8GB,2x8GB,"",C16,2666
RAM,HX426C16FR2K2/16,HyperX,Fury,58,79.4,139891,https://ram.userbenchmark.com/SpeedTest/272118/Kingston-KHX2666C168G-2x8GB,2x8GB,"",C16,2666
RAM,HX424C15FBK2/16,HyperX,Fury,59,79,20576,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2400-C15-2x8GB/Rating/3587,2x8GB,DDR4,C15,2400
RAM,BLS2K8G4D240FSA,Crucial,Ballistix Sport,60,76.9,3869,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-DDR4-2400-C16-2x8GB/Rating/3611,2x8GB,DDR4,C16,2400
RAM,BLS2K8G4D240FSB,Crucial,Ballistix Sport LT,61,76.6,9490,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-LT-DDR4-2400-C16-2x8GB/Rating/3638,2x8GB,DDR4,C16,2400
RAM,BLS2K8G4D240FSC,Crucial,Ballistix Sport LT,61,76.6,9490,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-LT-DDR4-2400-C16-2x8GB/Rating/3638,2x8GB,DDR4,C16,2400
RAM,BLS2K8G4D240FSE,Crucial,Ballistix Sport LT,61,76.6,9490,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-LT-DDR4-2400-C16-2x8GB/Rating/3638,2x8GB,DDR4,C16,2400
RAM,F4-2400C15Q-32GVR,G.SKILL,Ripjaws V,62,76.6,7128,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2400-C15-4x8GB/Rating/3568,4x8GB,DDR4,C15,2400
RAM,CMK8GX4M2A2400C16,Corsair,Vengeance LPX,63,76.3,11649,https://ram.userbenchmark.com/SpeedTest/105361/Corsair-Vengeance-LPX-CMK8GX4M2A2400C16-2x4GB,2x4GB,DDR4,C16,2400
RAM,CMK8GX4M2A2666C16,Corsair,Vengeance LPX,64,76.2,17567,https://ram.userbenchmark.com/SpeedTest/90467/Corsair-Vengeance-LPX-CMK8GX4M2A2666C16-2x4GB,2x4GB,DDR4,C16,2666
RAM,CMK32GX4M2A2400C16,Corsair,Vengeance LPX,65,76.1,9143,https://ram.userbenchmark.com/SpeedTest/131225/Corsair-Vengeance-LPX-CMK32GX4M2A2400C16-2x16GB,2x16GB,DDR4,C16,2400
RAM,CMK16GX4M2A2666C16,Corsair,Vengeance LPX,66,76,123999,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-2x8GB/Rating/3545,2x8GB,DDR4,C16,2666
RAM,CMK16GX4M2A2666C16R,Corsair,Vengeance LPX,66,76,123999,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-2x8GB/Rating/3545,2x8GB,DDR4,C16,2666
RAM,CMR16GX4M2A2666C16,Corsair,Vengeance RGB,67,75.6,8649,https://ram.userbenchmark.com/SpeedTest/282283/Corsair-CMR16GX4M2A2666C16-2x8GB,2x8GB,DDR4,C16,2666
RAM,F3-2400C10Q-32GTX,G.SKILL,TridentX,68,75.6,6945,https://ram.userbenchmark.com/SpeedTest/89345/GSKILL-F3-2400C10-8GTX-4x8GB,4x8GB,DDR3,C10,2400
RAM,CMK32GX4M2A2666C16,Corsair,Vengeance LPX,69,75,27555,https://ram.userbenchmark.com/SpeedTest/92488/Corsair-Vengeance-LPX-CMK32GX4M2A2666C16-2x16GB,2x16GB,DDR4,C16,2666
RAM,CMK16GX4M2A2400C16,Corsair,Vengeance LPX,70,74.9,100740,https://ram.userbenchmark.com/SpeedTest/92730/Corsair-Vengeance-LPX-CMK16GX4M2A2400C16-2x8GB,2x8GB,DDR4,C16,2400
RAM,CMU16GX4M2A2666C16,Corsair,Vengeance LED,71,74.2,13569,https://ram.userbenchmark.com/SpeedTest/152975/Corsair-CMU16GX4M2A2666C16-2x8GB,2x8GB,DDR4,C16,2666
RAM,CMU16GX4M2A2666C16B,Corsair,Vengeance LED,71,74.2,13569,https://ram.userbenchmark.com/SpeedTest/152975/Corsair-CMU16GX4M2A2666C16-2x8GB,2x8GB,DDR4,C16,2666
RAM,CMU16GX4M2A2666C16R,Corsair,Vengeance LED,71,74.2,13569,https://ram.userbenchmark.com/SpeedTest/152975/Corsair-CMU16GX4M2A2666C16-2x8GB,2x8GB,DDR4,C16,2666
RAM,HX421C14FBK2/16,HyperX,Fury,72,73.1,59919,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2133-C14-2x8GB/Rating/3552,2x8GB,DDR4,C14,2133
RAM,HX421C14FB2K2/16,HyperX,Fury,72,73.1,59919,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2133-C14-2x8GB/Rating/3552,2x8GB,DDR4,C14,2133
RAM,CMU16GX4M2A2400C16,Corsair,Vengeance LED,73,72.7,2877,https://ram.userbenchmark.com/SpeedTest/293029/Corsair-CMU16GX4M2A2400C16-2x8GB,2x8GB,DDR4,C16,2400
RAM,CMU16GX4M2A2400C16B,Corsair,Vengeance LED,73,72.7,2877,https://ram.userbenchmark.com/SpeedTest/293029/Corsair-CMU16GX4M2A2400C16-2x8GB,2x8GB,DDR4,C16,2400
RAM,CMU16GX4M2A2400C16R,Corsair,Vengeance LED,73,72.7,2877,https://ram.userbenchmark.com/SpeedTest/293029/Corsair-CMU16GX4M2A2400C16-2x8GB,2x8GB,DDR4,C16,2400
RAM,CMK16GX4M2A2400C14,Corsair,Vengeance LPX,74,72.2,66204,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-2x8GB/Rating/3544,2x8GB,DDR4,C14,2400
RAM,CMK16GX4M2A2400C14R,Corsair,Vengeance LPX,74,72.2,66204,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-2x8GB/Rating/3544,2x8GB,DDR4,C14,2400
RAM,F4-2400C15D-8GVR,G.SKILL,Ripjaws V,75,72.1,19237,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2400-C15-2x4GB/Rating/3559,2x4GB,DDR4,C15,2400
