Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX80662I36100,Intel,Core i3-6100,483,63.3,102710,https://cpu.userbenchmark.com/Intel-Core-i3-6100/Rating/3511
CPU,,Intel,Xeon W3520,484,63.3,6485,https://cpu.userbenchmark.com/SpeedTest/3585/IntelR-XeonR-CPU-----------W3520----267GHz
CPU,FD8320FRHKBOX,AMD,FX-8320,485,63.3,113708,https://cpu.userbenchmark.com/AMD-FX-8320/Rating/1983
CPU,HDE00ZFBGRBOX,AMD,Phenom II X6 1100T,486,63.2,11795,https://cpu.userbenchmark.com/AMD-Phenom-II-X6-1100T/Rating/2004
CPU,BX80646I34170,Intel,Core i3-4170,487,63.2,45138,https://cpu.userbenchmark.com/SpeedTest/28214/IntelR-CoreTM-i3-4170-CPU---370GHz
CPU,BX80646I34330,Intel,Core i3-4330,488,63,6324,https://cpu.userbenchmark.com/Intel-Core-i3-4330/Rating/2876
CPU,,Intel,Core i7-8665U,489,63,9226,https://cpu.userbenchmark.com/SpeedTest/740553/IntelR-CoreTM-i7-8665U-CPU---190GHz
CPU,,Intel,Core i5-8350U,490,63,17995,https://cpu.userbenchmark.com/SpeedTest/388461/IntelR-CoreTM-i5-8350U-CPU---170GHz
CPU,YD1400BBAEBOX,AMD,Ryzen 5 1400,491,62.9,75607,https://cpu.userbenchmark.com/AMD-Ryzen-5-1400/Rating/3922
CPU,,Intel,Core i7-3615QM,492,62.9,2573,https://cpu.userbenchmark.com/SpeedTest/806/IntelR-CoreTM-i7-3615QM-CPU---230GHz
CPU,,AMD,FX-8300,493,62.7,48717,https://cpu.userbenchmark.com/SpeedTest/7163/AMD-FXtm-8300-Eight-Core-Processor
CPU,,Intel,Core i7-3632QM,494,62.7,25945,https://cpu.userbenchmark.com/SpeedTest/36/IntelR-CoreTM-i7-3632QM-CPU---220GHz
