Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,AGAMMIXS11-240GT-C,XPG,Gammix S11 NVMe PCIe M.2 240GB,132,158,2468,https://ssd.userbenchmark.com/SpeedTest/497242/XPG-GAMMIX-S11
SSD,2YY43AA#ABC,HP,EX900 NVMe PCIe M.2 250GB,133,158,10653,https://ssd.userbenchmark.com/SpeedTest/455743/HP-SSD-EX900-250GB
SSD,CSSD-F240GBMP510,Corsair,Force NVMe PCIe M.2 240GB,134,158,26300,https://ssd.userbenchmark.com/SpeedTest/612603/Force-MP510
SSD,ASX8200NP-240GT-C,Adata,XPG SX8200 NVMe PCIe M.2 240GB,135,157,10413,https://ssd.userbenchmark.com/SpeedTest/480586/ADATA-SX8200NP
SSD,,Samsung,PM951 NVMe PCIe M.2 512GB 1TB,136,157,2475,https://ssd.userbenchmark.com/SpeedTest/39907/NVMe-PM951-NVMe-SAMSU
SSD,RVD350-FHPX28-960G,OCZ,RevoDrive 350 PCIe 960GB,137,155,170,https://ssd.userbenchmark.com/SpeedTest/15245/OCZ-REVODRIVE350
SSD,MDNVME80-BPX-0512,MyDigitalSSD,BPX NVMe PCIe M.2 480GB,138,154,1608,https://ssd.userbenchmark.com/SpeedTest/206552/BPX
SSD,PH480GPM280SSDR,Patriot,Hellfire NVMe PCIe M.2 480GB,139,154,844,https://ssd.userbenchmark.com/SpeedTest/184918/Patriot-Hellfire-M2
SSD,CSSD-F240GBMP500,Corsair,Force MP500 NVMe PCIe M.2 240GB,140,154,14303,https://ssd.userbenchmark.com/SpeedTest/213562/Force-MP500
SSD,SB-ROCKET-256,Sabrent,Rocket NVMe PCIe M.2 256GB,141,152,10440,https://ssd.userbenchmark.com/SpeedTest/759740/NVMe-Sabrent
SSD,ASX8000NP-512GM-C,Adata,XPG SX8000 NVMe PCIe M.2 512GB,142,152,1598,https://ssd.userbenchmark.com/SpeedTest/218488/NVMe-ADATA-SX8000NP
SSD,,Apple,SM0256G PCIe 251GB,143,150,961,https://ssd.userbenchmark.com/SpeedTest/25442/APPLE-SSD-SM0256G
SSD,,Toshiba,THNSN5256GPU7 NVMe PCIe M.2 256GB,144,149,18669,https://ssd.userbenchmark.com/SpeedTest/36660/NVMe-THNSN5256GPU7-TO
SSD,MDNVME80-BPX-0256,MyDigitalSSD,BPX NVMe PCIe M.2 240GB,145,149,1301,https://ssd.userbenchmark.com/SpeedTest/211350/BPX
SSD,,Toshiba,THNSN5128GPU7 NVMe PCIe M.2 128GB,146,149,2392,https://ssd.userbenchmark.com/SpeedTest/38688/NVMe-THNSN5128GPU7-TO
SSD,MKNSSDPL120GB-D8,Mushkin,Pilot NVMe PCIe M.2 120GB,147,148,154,https://ssd.userbenchmark.com/SpeedTest/533910/MKNSSDPL120GB-D8
